e_id;geo_name;loc;geonamesid;time;time_norm;actor
2181;Jebel Uweinat;[u'21.919444444444 24.922222222222'];80884;the previous year;1932-01-01;Hansjoachim von der Esch
2182;Jebel Uweinat;[u'21.919444444444 24.922222222222'];80884;1939;1939-01-01;Heinrich Barth
2183;Egyptian Sand Sea;[u'26.9 26.033333333333'];356473;spring of 1934;1934-01-01;Pat Clayton
2184;Siwa Oasis;[u'29.190556 25.549167'];347863;spring of 1934;1934-01-01;Pat Clayton
2185;Asyut;[u'27.186944444444 31.171388888889'];359783;late 1943;1943-01-01;Johannes Eppler
2186;Gödöllő;[u'47.6 19.366666666667'];3052236;December 1950;1950-12-01;Pál Teleki
2187;Gödöllő;[u'47.6 19.366666666667'];3052236;December 1950;1950-12-01;Robert Baden-Powell
2188;Gödöllő;[u'47.6 19.366666666667'];3052236;December 1950;1950-12-01;Farouk of Egypt
2189;Gödöllő;[u'47.6 19.366666666667'];3052236;1921;1921-01-01;Michael Ondaatje
2190;Cave of Swimmers;[u'23.594719444444 25.2335'];;1932;1932-01-01;Leo Frobenius
2191;Libyan Desert;[u'24 25'];353306;the previous year;1933-01-01;Pat Clayton
2192;Gilf Kebir;[u'23.441388888889 25.839722222222'];355051;late 1943;1943-01-01;Johannes Eppler
2193;Sudan;[u'15 32'];366755;November 1921;1921-11-01;Miklós Horthy
